name,stars,forks,language,created_at,open_issues,updated_at
1590A,545,21,OpenSCAD,2025-03-01T04:36:29Z,0,2026-03-07T21:53:55Z
AudioNoise,4279,200,C,2026-01-09T02:33:29Z,31,2026-03-08T23:30:44Z
GuitarPedal,1804,63,C,2025-09-17T01:01:29Z,0,2026-03-08T05:12:39Z
HunspellColorize,311,12,C,2026-01-18T19:57:03Z,3,2026-03-07T08:03:33Z
libdc-for-dirk,374,51,C,2017-01-17T00:25:49Z,1,2026-03-08T12:55:54Z
libgit2,340,27,C,2022-07-30T03:30:56Z,1,2026-03-07T21:53:57Z
linux,221529,60855,C,2011-09-04T22:48:12Z,3,2026-03-09T00:42:15Z
pesconvert,549,74,C,2017-12-04T21:58:56Z,6,2026-03-07T21:54:02Z
subsurface-for-dirk,438,67,C++,2017-01-11T18:03:01Z,2,2026-03-07T21:54:03Z
test-tlb,951,215,C,2017-03-24T20:06:37Z,13,2026-03-08T03:56:16Z
uemacs,1923,300,C,2018-01-17T22:32:21Z,11,2026-03-08T13:43:52Z
