id,url,title,content,scraped_at
1,http://books.toscrape.com/catalogue/category/books/romance_8/index.html,It's Only the Himalayas,"{""title"": ""It's Only the Himalayas"", ""price"": 45.17, ""availability"": true, ""rating"": 2, ""category"": ""Travel""}",2026-03-09 10:13:29
2,http://books.toscrape.com/catalogue/category/books/romance_8/index.html,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,"{""title"": ""Full Moon over Noah\u00e2\u0080\u0099s Ark: An Odyssey to Mount Ararat and Beyond"", ""price"": 49.43, ""availability"": true, ""rating"": 4, ""category"": ""Travel""}",2026-03-09 10:13:29
3,http://books.toscrape.com/catalogue/category/books/romance_8/index.html,See America: A Celebration of Our National Parks & Treasured Sites,"{""title"": ""See America: A Celebration of Our National Parks & Treasured Sites"", ""price"": 48.87, ""availability"": true, ""rating"": 3, ""category"": ""Travel""}",2026-03-09 10:13:29
4,http://books.toscrape.com/catalogue/category/books/romance_8/index.html,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,"{""title"": ""Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel"", ""price"": 36.94, ""availability"": true, ""rating"": 2, ""category"": ""Travel""}",2026-03-09 10:13:29
5,http://books.toscrape.com/catalogue/category/books/romance_8/index.html,Under the Tuscan Sun,"{""title"": ""Under the Tuscan Sun"", ""price"": 37.33, ""availability"": true, ""rating"": 3, ""category"": ""Travel""}",2026-03-09 10:13:29
6,http://books.toscrape.com/catalogue/category/books/romance_8/index.html,A Summer In Europe,"{""title"": ""A Summer In Europe"", ""price"": 44.34, ""availability"": true, ""rating"": 2, ""category"": ""Travel""}",2026-03-09 10:13:29
7,http://books.toscrape.com/catalogue/category/books/romance_8/index.html,The Great Railway Bazaar,"{""title"": ""The Great Railway Bazaar"", ""price"": 30.54, ""availability"": true, ""rating"": 1, ""category"": ""Travel""}",2026-03-09 10:13:29
8,http://books.toscrape.com/catalogue/category/books/romance_8/index.html,A Year in Provence (Provence #1),"{""title"": ""A Year in Provence (Provence #1)"", ""price"": 56.88, ""availability"": true, ""rating"": 4, ""category"": ""Travel""}",2026-03-09 10:13:29
9,http://books.toscrape.com/catalogue/category/books/romance_8/index.html,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),"{""title"": ""The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2)"", ""price"": 23.21, ""availability"": true, ""rating"": 1, ""category"": ""Travel""}",2026-03-09 10:13:29
10,http://books.toscrape.com/catalogue/category/books/romance_8/index.html,Neither Here nor There: Travels in Europe,"{""title"": ""Neither Here nor There: Travels in Europe"", ""price"": 38.95, ""availability"": true, ""rating"": 3, ""category"": ""Travel""}",2026-03-09 10:13:29
11,http://books.toscrape.com/catalogue/category/books/romance_8/index.html,"1,000 Places to See Before You Die","{""title"": ""1,000 Places to See Before You Die"", ""price"": 26.08, ""availability"": true, ""rating"": 5, ""category"": ""Travel""}",2026-03-09 10:13:29
12,http://books.toscrape.com/catalogue/category/books/romance_8/index.html,Sharp Objects,"{""title"": ""Sharp Objects"", ""price"": 47.82, ""availability"": true, ""rating"": 4, ""category"": ""Mystery""}",2026-03-09 10:13:29
13,http://books.toscrape.com/catalogue/category/books/romance_8/index.html,"In a Dark, Dark Wood","{""title"": ""In a Dark, Dark Wood"", ""price"": 19.63, ""availability"": true, ""rating"": 1, ""category"": ""Mystery""}",2026-03-09 10:13:29
14,http://books.toscrape.com/catalogue/category/books/romance_8/index.html,The Past Never Ends,"{""title"": ""The Past Never Ends"", ""price"": 56.5, ""availability"": true, ""rating"": 4, ""category"": ""Mystery""}",2026-03-09 10:13:29
15,http://books.toscrape.com/catalogue/category/books/romance_8/index.html,A Murder in Time,"{""title"": ""A Murder in Time"", ""price"": 16.64, ""availability"": true, ""rating"": 1, ""category"": ""Mystery""}",2026-03-09 10:13:29
16,http://books.toscrape.com/catalogue/category/books/romance_8/index.html,The Murder of Roger Ackroyd (Hercule Poirot #4),"{""title"": ""The Murder of Roger Ackroyd (Hercule Poirot #4)"", ""price"": 44.1, ""availability"": true, ""rating"": 4, ""category"": ""Mystery""}",2026-03-09 10:13:29
17,http://books.toscrape.com/catalogue/category/books/romance_8/index.html,The Last Mile (Amos Decker #2),"{""title"": ""The Last Mile (Amos Decker #2)"", ""price"": 54.21, ""availability"": true, ""rating"": 2, ""category"": ""Mystery""}",2026-03-09 10:13:29
18,http://books.toscrape.com/catalogue/category/books/romance_8/index.html,That Darkness (Gardiner and Renner #1),"{""title"": ""That Darkness (Gardiner and Renner #1)"", ""price"": 13.92, ""availability"": true, ""rating"": 1, ""category"": ""Mystery""}",2026-03-09 10:13:29
